stop_id,stop_code,stop_name,stop_lat,stop_lon,wheelchair_boarding
4-17,17,Boulanger,47.317173,5.064466,1
4-18,18,Défense,47.317299,5.062196,1
4-19,19,Creux d'Enfer,47.31776,5.057852,1
4-21,21,Lycée H. Fontaine,47.318935,5.051466,1
4-22,22,Cité Dampierre,47.319633,5.046683,0
4-83,83,Cité Dampierre,47.319408,5.045904,1
4-160,160,Lavoisier,47.284042,5.043702,1
4-510,510,Palissy,47.285526,5.019875,0
4-481,481,Les Jardins,47.33519,5.075171,0
4-480,480,Les Buttes,47.337315,5.079729,1
4-370,370,La Planchotte,47.336655,5.084024,1
4-1294,1294,Néel,47.291443,5.045916,0
4-396,396,SNCF Vincenot,47.322487,5.026284,1
4-397,397,Albert 1er,47.322475,5.019427,1
4-398,398,CH La Chartreuse,47.322105,5.010924,1
4-399,399,Gorgets,47.320564,5.008742,0
4-402,402,Bachelard,47.318825,5.001389,1
4-338,338,Jura,47.341995,5.027214,0
4-331,331,Ranelagh,47.341724,5.029213,0
4-415,415,Hoin,47.333771,5.034121,0
4-741,741,Beaune,47.331203,5.03844,1
4-306,306,Mare,47.343964,5.016891,0
4-795,795,Combottes,47.339825,5.017227,1
4-302,302,Amandiers,47.337601,5.023166,1
4-298,298,Rouen,47.331032,5.033096,1
4-34,34,Chaumière,47.336933,5.011984,1
4-35,35,Herriot,47.337894,5.010377,1
4-37,37,Moulissards,47.342793,4.99901,0
4-38,38,Nachey,47.340691,4.996892,1
4-40,40,Picasso,47.337234,4.993754,1
4-42,42,Rétisseys,47.338593,4.991055,1
4-199,199,Eiffel,47.281094,5.050074,0
4-309,309,Route de Beaune,47.287636,5.013592,0
4-506,506,Vieux Bourg,47.291515,5.003467,0
4-220,220,1er Mai,47.314682,5.028645,0
4-218,218,Jaurès,47.310677,5.026365,0
4-497,497,Bourroches,47.30455,5.022748,1
4-498,498,Carraz,47.300869,5.020751,1
4-580,580,Malines,47.349407,5.074191,0
4-573,573,Quignard,47.349739,5.06903,0
4-1077,1077,Colchide,47.356079,5.058864,0
4-1018,1018,La Flamme,47.345554,4.964492,0
4-1017,1017,Courtois,47.344006,4.96525,0
4-547,547,Mayence,47.339123,5.06425,1
4-1015,1015,Victor Hugo,47.340687,4.970383,0
